Date,Close,High,Low,Open,Volume
1/2/2015,24.28858184814453,24.75733627662568,23.84870740573121,24.74622767701957,212818400
1/5/2015,23.604331970214844,24.137512513705367,23.417719712206985,24.057535347435078,257142000
1/6/2015,23.606555938720703,23.866480902659614,23.244436602442416,23.66876002975555,263188400
1/7/2015,23.93756866455078,24.03753927102304,23.704301656203306,23.815380861143215,160423600
1/8/2015,24.857309341430664,24.915071014189344,24.148623329110514,24.26636873,237458000
1/9/2015,24.88396644592285,25.159442427054685,24.484080590300568,25.030590129694804,214798000
1/12/2015,24.270811080932617,25.02170604470176,24.170840454682892,25.015041562276377,198603200
1/13/2015,24.486299514770508,25.05946860281435,24.195272548447814,24.75511097972112,268367600
1/14/2015,24.392986297607422,24.546274398946437,24.104179778964355,24.22414548540377,195826400
1/15/2015,23.730966567993164,24.45075950194886,23.695422095851104,24.437430536762403,240056000
1/16/2015,23.546573638916016,23.899806455751897,23.371068260038804,23.777618630288504,314053200
1/20/2015,24.15305519104004,24.208594776488557,23.659863401067835,23.957554765503737,199599600
1/21/2015,24.337461471557617,24.67291954648821,24.053097201479453,24.204165031391277,194303600
1/22/2015,24.970605850219727,24.986156871263873,24.37522123820435,24.49518698408814,215185600
1/23/2015,25.09946060180664,25.270521850097733,24.77732985576787,24.9483928,185859200
1/26/2015,25.126117706298828,25.406037798361062,25.059471195287816,25.268298963710123,222460000
1/27/2015,24.246368408203125,24.988378369065714,24.221930847834546,24.97504771,382274800
1/28/2015,25.61708641052246,26.241352712133768,25.61708641052246,26.132493867924392,585908400
1/29/2015,26.41463851928711,26.479064669460453,25.672628457751323,25.84146934458718,337745600
1/30/2015,26.028079986572266,26.659009053947294,25.959209727294347,26.30355593888149,334982000
2/2/2015,26.35465431213379,26.474620069416556,25.788151324610777,26.225803709068003,250956400
2/3/2015,26.359094619750977,26.456843163643637,26.128049679300354,26.325770520611485,207662800
2/4/2015,26.56125831604004,26.772309817405812,26.283560310243587,26.325770949503564,280598800
2/5/2015,26.750843048095703,26.81552346177892,26.596948212034828,26.768684571272377,168984800
2/6/2015,26.52557373046875,26.819980096729665,26.418516096545073,26.76868125718588,174826400
2/9/2015,26.7017765,26.728539641570595,26.414060869820496,26.44082570849816,155559200
2/10/2015,27.214752197265625,27.24374786000545,26.799908323654723,26.802137450309015,248034000
2/11/2015,27.852638244628906,27.86155985781069,27.32181502249077,27.382033784438146,294247200
2/12/2015,28.205036163330078,28.43253306037097,28.00653493644324,28.11582172726745,297898000
2/13/2015,28.34331703186035,28.387923396573573,28.024376589451972,28.387923396573573,217088800
